"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","accuracy","f1","model_type","symbol","threshold","horizon"
"2025-11-10 19:18:11","1.9s","804471bf995f45eeb9c25697ae62ef7c","BTCUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5145590682196339","0.6794836583356221","XGBoost_OPT","BTCUSDT","0.01","40"
"2025-11-10 19:18:00","10.5s","4ecbf6de85d149faa542d83a7ccafbfc","BTCUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5357737104825291","0.6619206301120872","RandomForest_OPT","BTCUSDT","0.01","40"
"2025-11-10 19:17:59","1.2s","5ee6eae31c704572a5ac77bf8f2cf7d0","BTCUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5403494176372712","0.6614583333333334","LightGBM","BTCUSDT","0.01","40"
"2025-11-10 19:17:58","1.4s","2158eb82bb254b8d88111d57056c10e7","BTCUSDT_XGBoost_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5339018302828619","0.6531496672341742","XGBoost","BTCUSDT","0.01","40"
"2025-11-10 19:17:54","3.2s","030156ef9bbc411eb66db2eef959eb83","BTCUSDT_RandomForest_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5388935108153078","0.6646498260474966","RandomForest","BTCUSDT","0.01","40"
"2025-11-10 19:17:53","1.1s","65d17cd4f13847bcb5f85941e4bba727","BTCUSDT_LogisticRegression_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5145590682196339","0.6794836583356221","LogisticRegression","BTCUSDT","0.01","40"
"2025-11-10 19:06:27","11.4min","bdfc6330563c44fba5454114eaa05fd3","ETHUSDT_LightGBM_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5297225891677675","0.6679989341859845","LightGBM_OPT","ETHUSDT","0.01","40"
"2025-11-10 19:06:25","2.1s","db81d1e10a81412f9ed9bc3d5ff17c19","ETHUSDT_XGBoost_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5319871673900736","0.6801650760897602","XGBoost_OPT","ETHUSDT","0.01","40"
"2025-11-10 19:06:16","8.7s","a0bfa6b61bc847a0a4c6f36afdb939e6","ETHUSDT_RandomForest_OPT","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.5212304208341196","0.6633045786330458","RandomForest_OPT","ETHUSDT","0.01","40"
"2025-11-10 19:06:15","1.2s","6f1f8e5cc8174ba48af05172af56d728","ETHUSDT_LightGBM_BASE","LOCAL","pipeline_ML_WF.py","username","FINISHED","0.556520098131723","0.6225505942820431","LightGBM","ETHUSDT","0.01","40"
